"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),스마트폰 (%),태블릿PC (%),데스크톱/노트북 (%),기타 (%),사례수 (명),스마트폰 (%),태블릿PC (%),데스크톱 컴퓨터 (%),노트북 컴퓨터 (%),TV 수상기 (%),사례수 (명),스마트폰 (%),태블릿PC (%),데스크톱 컴퓨터 (%),노트북 컴퓨터 (%),TV 수상기 (%),기타 (%)
"지역",대전,230.3,95.9,3.3,29.7,0.0,213.0,99.5,11.1,38.6,21.6,6.5,219.8,98.4,15.0,24.3,15.8,15.5,0.0
"지역",울산,150.5,99.2,0.0,10.6,0.0,176.0,100.0,0.8,7.2,2.1,6.3,187.4,100.0,2.2,4.7,1.4,14.0,0.0
"지역",경기,1040.9,96.1,6.8,11.3,0.3,1907.0,98.5,11.0,17.5,17.1,11.8,2226.8,98.3,12.4,13.1,14.3,14.4,0.1
"지역",강원,105.1,99.6,0.7,11.4,0.8,181.0,98.5,13.8,15.4,21.5,18.4,207.4,98.3,21.8,12.9,20.5,18.1,0.0
"지역",충북,249.7,98.6,1.5,16.4,0.0,264.0,98.8,3.3,15.8,16.9,1.5,279.8,98.3,10.4,16.7,11.1,10.9,0.0
"지역",충남,311.6,94.6,2.2,28.8,0.0,265.0,99.0,5.7,18.7,5.8,11.6,305.8,99.0,2.0,15.7,10.6,12.3,0.0
"지역",전북,139.4,98.9,0.9,14.7,0.0,262.0,100.0,0.7,37.5,1.9,12.7,292.8,100.0,2.7,8.9,2.7,29.2,0.0
"지역",전남,45.0,93.1,8.8,10.1,0.0,245.0,100.0,3.0,3.9,2.1,8.1,279.7,96.3,5.0,3.7,2.7,9.0,0.0
"지역",경북,135.2,97.3,11.5,17.4,0.8,291.0,99.0,11.5,22.6,18.8,7.4,318.2,99.0,15.8,16.7,20.1,9.9,0.0
"지역",경남,323.3,99.7,0.7,5.5,0.0,427.0,99.8,1.3,1.5,2.3,3.2,501.1,100.0,0.8,2.3,2.3,3.1,0.0
