"구분별(1)",구분별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"구분별(1)",구분별(2),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),유튜브 (%),넷플릭스(Netflix) (%),에브리온 TV (%),카카오 TV (%),네이버 TV캐스트 (%),네이버 V앱 (%),다음 tv팟 (%),곰 TV (%),아프리카 TV (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),에브리온 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),넷플릭스(Netflix) (%),에브리온 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),유튜브 (%),넷플릭스(Netflix) (%),에브리온 TV (%),카카오 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),아마존 프라임 비디오 (%),기타 (%)
"연령",만50-59세,37.1,39.1,0.0,7.3,23.5,9.0,16.1,0.0,1.1,9.4,1.6,4.4,0.0,0.0,1.5,0.0,62.4,20.0,11.1,29.1,21.2,16.9,0.0,8.0,2.2,0.0,114.0,30.3,11.9,26.3,16.6,12.7,0.8,1.4,6.4,5.1,0.0,192.9,9.8,3.2,14.1,7.5,10.6,65.2,2.9,0.0,7.4,2.0,3.1,0.0,1.0
"연령",만60-69세,7.5,24.0,0.0,22.8,0.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,19.3,0.0,40.5,23.2,12.1,0.0,5.0,0.0,0.0,38.9,28.1,16.1,28.5,1.2,15.6,0.0,0.0,4.1,6.4,0.0,84.9,7.4,6.6,4.2,3.6,3.7,78.1,3.7,0.0,4.6,0.0,2.5,0.0,0.0
"연령",만70세이상,3.8,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,70.3,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,2.8,46.4,0.0,34.5,0.0,0.0,0.0,0.0,19.0,0.0,0.0,11.1,0.0,0.0,4.7,13.1,0.0,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"월평균소득",소득없음,135.3,19.0,9.5,20.6,10.6,3.4,27.0,3.3,1.2,3.9,11.1,4.1,4.3,5.3,16.4,1.2,130.4,22.8,7.6,41.7,5.7,12.5,0.0,9.3,4.1,1.3,333.4,22.8,7.9,19.6,12.4,12.8,2.9,1.8,17.7,8.0,1.7,468.4,14.3,3.4,7.1,7.0,4.4,68.2,17.2,0.0,21.2,6.8,4.8,0.5,1.0
"월평균소득",50만원미만,29.6,26.7,15.3,0.0,0.0,0.0,45.3,0.0,0.0,12.5,31.9,21.6,0.0,0.0,13.4,0.0,10.0,22.4,19.0,28.1,9.5,21.9,0.0,0.0,37.0,0.0,13.2,0.0,30.9,13.5,21.6,0.0,38.3,0.0,0.0,3.8,0.0,53.8,5.4,0.0,21.7,0.0,10.1,59.6,37.2,0.0,10.5,0.0,0.5,0.7,0.7
"월평균소득",50-100만원미만,34.3,9.7,3.8,44.0,0.0,15.9,50.3,0.0,0.0,0.0,16.2,5.4,18.6,0.0,18.6,0.0,16.3,26.5,20.7,0.0,20.2,13.6,0.0,0.0,14.8,7.4,19.0,8.9,4.2,23.6,12.2,34.3,6.7,5.6,5.1,0.0,4.5,35.1,1.5,0.0,5.9,6.2,12.7,83.3,8.9,0.0,27.5,4.9,6.6,0.0,0.0
"월평균소득",100-200만원미만,127.8,21.1,13.5,24.8,4.1,10.2,28.4,0.0,0.0,7.4,2.9,0.0,1.1,2.4,18.3,0.0,113.1,27.4,23.7,26.5,12.2,6.5,0.0,1.5,2.6,2.3,216.5,20.6,19.3,20.5,10.7,10.0,2.9,0.7,18.4,5.2,0.6,248.8,8.4,1.6,19.4,7.0,10.9,65.3,11.3,0.5,25.8,4.3,5.3,0.0,0.7
"월평균소득",200-300만원미만,103.6,16.2,8.3,26.5,15.6,5.8,16.3,0.0,0.0,10.6,9.4,2.9,3.1,4.3,11.4,0.0,94.7,33.6,12.2,34.7,15.5,6.7,8.4,9.9,8.2,0.0,290.8,29.1,8.9,24.2,12.6,18.2,0.3,2.0,8.5,5.3,0.0,401.2,13.9,12.8,8.4,7.3,5.4,60.4,12.3,0.3,17.1,6.5,4.0,1.3,0.4
"월평균소득",300-400만원미만,49.9,43.9,21.8,13.9,4.7,8.0,17.6,0.0,0.0,2.9,0.0,4.4,3.6,0.0,24.6,0.0,27.6,31.6,14.9,31.5,18.6,3.9,0.0,0.0,0.0,0.0,99.9,34.8,13.4,22.8,10.1,9.3,3.2,1.2,12.2,4.5,0.0,177.4,17.7,6.6,17.9,3.8,5.9,60.2,14.7,0.0,14.5,4.5,2.7,1.7,0.7
"월평균소득",400-500만원미만,33.4,24.0,7.9,28.6,22.1,0.0,25.6,0.0,0.0,5.0,5.9,0.0,4.1,5.0,0.0,0.0,22.5,26.4,4.6,38.2,6.9,18.3,0.0,5.5,0.0,0.0,26.5,31.3,2.7,54.0,17.7,14.9,0.0,0.0,4.1,8.3,0.0,45.8,24.8,3.3,22.7,10.2,3.7,69.2,8.8,0.0,2.9,0.4,0.9,0.0,0.0
