"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%)
"지역",울산,150.5,38.7,72.1,31.9,37.5,176.0,26.4,66.2,34.1,37.1,187.4,34.5,85.7,6.3,17.1
"지역",경기,1040.9,47.9,55.1,20.3,29.1,1907.0,40.5,60.1,20.3,37.3,2226.8,44.7,67.6,19.4,34.3
"지역",강원,105.1,48.1,28.8,14.3,52.9,181.0,42.2,57.4,11.1,26.6,207.4,46.2,58.0,11.2,16.4
"지역",충북,249.7,8.7,67.6,51.9,57.5,264.0,22.7,68.0,28.3,46.6,279.8,22.0,79.0,6.8,37.7
"지역",충남,311.6,29.2,70.3,71.7,60.7,265.0,48.5,52.4,20.1,45.4,305.8,44.3,83.6,11.5,50.7
"지역",전북,139.4,76.8,39.0,83.6,91.8,262.0,31.9,60.8,4.4,36.5,292.8,43.3,42.7,6.7,28.1
"지역",전남,45.0,47.5,41.4,42.1,95.8,245.0,15.3,70.9,9.7,44.2,279.7,53.6,26.7,0.8,50.0
"지역",경북,135.2,36.0,63.6,22.2,27.0,291.0,34.8,57.8,23.9,29.9,318.2,26.7,72.4,18.4,33.6
"지역",경남,323.3,41.7,64.1,18.1,33.9,427.0,35.5,48.1,24.8,31.4,501.1,30.9,69.7,4.1,16.1
"지역",제주,58.9,34.6,61.9,7.1,35.5,83.0,55.9,63.4,21.6,33.7,84.5,46.1,76.8,15.5,31.1
