"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어,표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어,표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어,표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어
"가구소득별",300~400만원,1821,73.7,10.9,13.2,2.2,1785,76,8.3,15.2,0.6,1666,74.1,10.7,15.1,0.2,1489,69.8,7.5,22.1,0.6
"가구소득별",400~500만원,1938,68.3,13.7,16.5,1.5,1524,76.1,8.2,15.7,0,1496,67.6,10.5,21.4,0.4,1295,65.5,7.9,25.7,0.8
"가구소득별",500~600만원,1140,62.1,14.7,21.6,1.5,1194,69.2,9.7,21,0.2,1568,66,11.2,22.6,0.2,1078,63.7,6.6,28.9,0.9
"가구소득별",600만원 이상,912,61.2,12.2,22.9,3.7,1073,70.6,10.3,18.7,0.4,628,63.2,12.3,24.1,0.5,1255,60,12.1,27,0.8
"지역규모별",대도시,3727,70.6,11.2,16.7,1.5,3676,72.3,10.3,17.1,0.2,3422,71,11,17.8,0.2,3402,68.1,9.1,22.3,0.5
"지역규모별",중소도시,2822,66.3,12.7,17.9,3.1,2790,74,7.7,17.9,0.4,2875,68.8,9.6,21.2,0.5,2503,63.4,7.9,27.4,1.3
"지역규모별",읍면지역,1829,76.6,10.8,11.3,1.2,1760,84.8,6,9.1,0.1,1200,76.2,9.5,14.1,0.2,1325,73.7,5.1,20.8,0.4
"권역별",수도권,2609,63.8,12.8,20.3,3.1,2748,73.5,8.8,17.4,0.3,3815,68.4,10.4,20.8,0.4,2373,65.7,8.6,24.5,1.1
"권역별",강원/제주권,645,68.2,11.7,18,2.1,568,80.5,9.2,10.2,0.1,292,68.5,10.8,20.7,0.1,549,71,4.9,23.9,0.2
"권역별",충청/세종권,1444,72.8,15.5,10.7,1.1,1306,71,10.6,18.1,0.3,766,64.4,8.9,26.4,0.2,1128,61.3,10.7,27.7,0.3
