"구분별(1)",구분별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),TV 방송 프로그램 (VOD/다시보기) (%),해외 TV 방송 프로그램 (%),실시간 TV (%),영화 (%),OTT 사업자 자체 제작 프로그램(넷플릭스 오리지널 등) (%),예능/오락(개인방송 콘텐츠 포함) (%),음악 (%),기타 (%),사례수 (명),영화 (%),예능/오락(개인방송 콘텐츠 포함) (%),드라마 (%),교양/다큐멘터리 (%),교육/학습 (%),애니메이션(만화) (%),스포츠 (%),뉴스 (%),기타 (%)
"지역",인천,452.0,57.1,5.7,22.2,24.1,15.4,78.9,32.5,0.5,499.5,39.0,77.7,42.2,15.0,13.0,16.5,25.4,19.2,1.4
"지역",광주,248.0,56.7,7.5,34.2,18.3,16.3,69.7,34.8,0.0,263.0,22.5,84.6,55.8,29.3,10.5,9.0,18.1,16.6,0.0
"지역",대전,213.0,45.3,1.3,17.4,22.0,21.0,90.4,24.0,0.0,219.8,48.1,89.7,40.4,21.5,5.4,16.1,12.4,13.4,0.5
"지역",울산,176.0,74.0,7.9,11.2,4.3,12.7,83.1,11.0,0.0,187.4,31.1,85.6,50.4,12.4,1.2,2.4,43.0,13.4,0.0
"지역",경기,1907.0,59.5,4.7,31.1,26.3,17.3,69.6,31.3,0.5,2226.8,45.3,76.8,48.8,21.0,13.3,11.3,23.2,29.1,1.1
"지역",강원,181.0,62.3,8.6,6.6,34.1,8.9,67.3,25.9,0.3,207.4,27.0,77.4,33.5,22.5,16.8,18.2,24.7,26.9,2.1
"지역",충북,264.0,30.4,0.8,19.9,20.0,38.6,93.2,25.6,0.1,279.8,36.7,92.8,24.0,35.4,11.8,4.0,30.6,8.1,0.7
"지역",충남,265.0,60.4,4.2,22.0,19.9,12.9,87.7,28.7,0.7,305.8,40.8,82.2,36.3,35.8,9.8,5.2,32.6,10.2,0.0
"지역",전북,262.0,41.9,3.6,39.7,21.4,29.4,76.0,22.8,0.0,292.8,35.3,91.6,51.7,14.0,4.4,3.1,23.8,20.8,0.0
"지역",전남,245.0,47.7,2.6,29.8,13.3,12.5,70.4,43.0,0.0,279.7,16.0,89.9,42.7,14.1,4.5,13.6,26.1,26.2,0.7
"지역",경북,291.0,59.0,3.7,18.6,24.1,16.2,71.5,28.2,1.1,318.2,33.5,80.1,46.0,12.0,7.5,10.8,20.0,26.9,4.3
"지역",경남,427.0,46.4,0.8,16.0,3.8,23.7,75.9,29.7,0.0,501.1,20.9,71.6,42.2,20.2,1.9,3.2,21.4,39.2,10.0
"지역",제주,83.0,66.6,3.4,17.8,37.8,16.2,73.3,35.9,3.0,84.5,39.3,76.3,37.1,12.8,8.2,34.6,20.2,33.4,0.9
"지역",세종,79.0,54.8,0.0,11.3,37.0,23.8,86.9,27.7,0.0,88.1,50.6,90.4,63.7,14.0,13.7,18.6,11.4,7.5,3.1
"지역구분2",시부,7113.0,56.9,5.4,23.7,22.4,20.1,72.8,32.5,0.4,7880.6,38.8,80.4,47.0,19.3,9.3,10.1,23.5,26.2,2.0
"지역구분2",군부,321.0,59.4,1.1,40.8,20.3,11.9,79.3,24.4,0.0,413.1,32.7,81.6,47.5,27.0,7.6,12.1,21.4,18.5,1.9
"종사상지위",임금근로자,3968.0,59.6,6.4,27.8,26.0,23.1,70.7,30.3,0.3,4440.1,42.6,80.7,48.9,20.0,4.2,5.0,30.3,30.4,1.4
"종사상지위",고용주,110.0,61.1,3.1,11.7,15.7,21.5,77.4,24.4,0.0,141.0,37.6,77.6,49.9,25.7,3.8,3.6,31.0,34.0,4.5
"종사상지위",단독자영업자,535.0,54.6,3.7,22.2,14.1,17.1,78.5,33.1,0.2,622.9,25.0,74.4,40.1,22.7,3.4,3.7,25.0,34.1,2.6
"종사상지위",무급가족종사자,66.0,60.4,2.1,36.8,20.9,32.0,65.7,26.9,0.0,97.3,39.4,75.7,49.9,17.9,0.0,13.1,1.2,20.1,0.4
"종사상지위",무직,2755.0,53.3,4.1,20.4,19.0,15.1,75.6,34.9,0.5,2992.5,35.3,81.7,45.4,18.2,18.5,19.4,13.3,16.9,2.5
"상세직업",관리자,189.0,60.2,7.2,27.3,41.3,15.7,69.2,26.3,1.6,207.6,44.3,76.1,38.1,21.0,10.7,5.7,44.0,32.5,2.1
"상세직업",전문가및관련종사자,773.0,64.9,7.4,22.0,30.4,27.8,66.9,26.4,0.6,835.7,48.0,79.7,53.7,19.9,7.6,6.1,25.7,29.6,2.6
"상세직업",사무종사자,1257.0,59.7,7.6,34.4,27.5,27.4,66.9,30.3,0.2,1443.1,45.0,86.0,51.8,21.4,3.0,5.3,28.7,29.3,0.6
"상세직업",서비스종사자,592.0,64.9,3.3,23.8,19.1,22.8,73.4,34.4,0.0,689.9,37.9,76.3,52.5,16.9,5.3,6.0,21.6,28.6,0.8
