"구분별(1)",구분별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),티빙(Tving) (%),웨이브(Wavve)(구 푹(pooq) 옥수수) (%),KT 시즌(Seezn)(구 olleh tv 모바일) (%),U+ 모바일(구 U+비디오포털) (%),에브리온 TV (%),네이버시리즈(구 네이버 N 스토어) (%),곰TV (%),넷플릭스 (%),카카오 TV (%),유튜브 (%),아마존 프라임 비디오 (%),왓챠플레이 (%),기타 (%),사례수 (명),티빙(Tving) (%),웨이브(Wavve)(구 푹(pooq) 옥수수) (%),KT 시즌(Seezn)(구 olleh tv 모바일) (%),U+ 모바일(구 U+비디오포털) (%),네이버시리즈(구 네이버 N 스토어) (%),곰TV (%),넷플릭스 (%),카카오 TV (%),유튜브 (%),아마존 프라임 비디오 (%),왓챠플레이 (%),쿠팡플레이 (%),아프리카 TV (%),기타 (%)
"월평균소득",400-500만원미만,266.0,9.0,8.1,5.6,6.0,1.7,13.9,5.1,27.8,11.3,93.5,0.0,0.0,0.7,358.2,8.0,7.7,1.1,4.4,5.8,0.8,37.2,6.0,94.0,0.0,1.9,0.7,3.3,0.0
"월평균소득",500만원이상,224.0,7.7,14.0,2.8,9.4,2.1,13.5,2.9,15.5,8.3,94.0,0.8,4.6,0.1,272.5,9.5,8.4,3.0,5.7,9.9,1.3,30.7,5.1,92.3,0.9,1.3,1.1,3.4,0.0
"학력1",미취학,13.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,95.5,0.0,0.0,0.0,0.0,4.5
"학력1",초졸이하,540.0,5.9,2.2,3.6,0.8,0.0,5.4,1.1,10.1,5.9,98.7,0.6,0.0,2.7,665.3,2.6,2.9,1.3,0.2,1.5,1.3,16.6,6.6,96.2,0.0,1.0,0.7,3.3,0.6
"학력1",중졸이하,505.0,10.0,5.6,2.2,1.9,1.5,4.7,2.0,11.6,8.6,94.4,2.2,0.1,1.4,591.8,5.6,3.7,0.8,2.8,3.7,1.7,10.3,7.1,97.1,0.1,1.0,0.7,1.3,0.2
"학력1",고졸이하,2352.0,9.9,6.0,2.2,3.2,1.0,8.3,1.9,11.7,9.5,95.5,0.4,0.3,0.8,2739.2,4.2,4.3,1.6,3.0,4.0,0.7,18.7,7.7,96.8,0.2,1.0,1.3,4.4,0.3
"학력1",대졸이하,3892.0,17.8,13.0,2.9,4.7,1.7,9.9,4.0,32.4,12.9,92.2,1.0,2.5,0.3,4138.0,13.6,8.0,2.6,4.4,4.9,1.9,37.7,11.0,92.8,0.4,2.7,1.6,5.2,0.3
"학력1",대학원재학이상,132.0,12.4,20.2,0.7,6.5,0.0,3.7,3.1,29.2,10.8,86.7,0.3,3.2,0.0,141.8,6.0,10.2,2.2,4.0,4.6,1.3,44.6,5.4,93.2,0.6,3.4,1.0,5.6,0.0
"지역",서울,1482.0,12.4,11.5,3.7,5.3,0.5,9.3,3.5,32.2,11.0,90.4,0.2,3.6,0.2,1626.1,12.5,9.8,2.0,6.6,3.3,1.5,28.7,9.1,91.6,0.3,2.0,1.7,3.4,0.4
"지역",부산,524.0,0.8,1.7,1.1,1.0,0.0,7.5,0.4,13.9,6.4,97.1,0.6,1.4,0.2,555.7,1.2,1.1,2.2,2.7,0.5,0.2,13.0,2.3,99.2,0.5,2.7,1.8,2.0,0.0
