,year,month,day,covid
326,2021,12,31,4875.0
327,2021,12,30,5037.0
328,2021,12,29,5409.0
329,2021,12,28,3865.0
330,2021,12,27,4207.0
331,2021,12,26,5419.0
332,2021,12,25,5842.0
333,2021,12,24,6233.0
334,2021,12,23,6919.0
335,2021,12,22,7456.0
336,2021,12,21,5202.0
337,2021,12,20,5318.0
338,2021,12,19,6236.0
339,2021,12,18,7314.0
340,2021,12,17,7435.0
341,2021,12,16,7622.0
342,2021,12,15,7850.0
343,2021,12,14,5567.0
344,2021,12,13,5817.0
345,2021,12,12,6689.0
346,2021,12,11,6977.0
347,2021,12,10,7022.0
348,2021,12,09,7102.0
349,2021,12,08,7175.0
350,2021,12,07,4954.0
351,2021,12,06,4325.0
352,2021,12,05,5128.0
353,2021,12,04,5352.0
354,2021,12,03,4944.0
355,2021,12,02,5266.0
356,2021,12,01,5123.0
357,2021,11,30,3032.0
358,2021,11,29,3309.0
359,2021,11,28,3928.0
360,2021,11,27,4068.0
361,2021,11,26,3901.0
362,2021,11,25,3938.0
363,2021,11,24,4115.0
364,2021,11,23,2699.0
365,2021,11,22,2827.0
366,2021,11,21,3120.0
367,2021,11,20,3212.0
368,2021,11,19,3034.0
369,2021,11,18,3292.0
370,2021,11,17,3187.0
371,2021,11,16,2125.0
372,2021,11,15,2006.0
373,2021,11,14,2419.0
374,2021,11,13,2325.0
375,2021,11,12,2368.0
376,2021,11,11,2520.0
377,2021,11,10,2425.0
378,2021,11,09,1715.0
379,2021,11,08,1760.0
380,2021,11,07,2224.0
381,2021,11,06,2248.0
382,2021,11,05,2344.0
383,2021,11,04,2482.0
384,2021,11,03,2667.0
386,2021,11,02,1589.0
387,2021,11,01,1686.0
388,2021,10,31,2061.0
389,2021,10,30,2104.0
390,2021,10,29,2124.0
391,2021,10,28,2111.0
392,2021,10,27,1952.0
393,2021,10,26,1266.0
394,2021,10,25,1190.0
395,2021,10,24,1423.0
396,2021,10,23,1508.0
397,2021,10,22,1440.0
398,2021,10,21,1441.0
399,2021,10,20,1571.0
400,2021,10,19,1073.0
401,2021,10,18,1050.0
402,2021,10,17,1420.0
403,2021,10,16,1618.0
404,2021,10,15,1684.0
405,2021,10,14,1940.0
406,2021,10,13,1584.0
407,2021,10,12,1347.0
408,2021,10,11,1297.0
409,2021,10,10,1594.0
410,2021,10,09,1953.0
411,2021,10,08,2176.0
412,2021,10,07,2427.0
413,2021,10,06,2028.0
414,2021,10,05,1575.0
415,2021,10,04,1673.0
416,2021,10,03,2086.0
417,2021,10,02,2248.0
418,2021,10,01,2486.0
419,2021,09,30,2564.0
420,2021,09,29,2885.0
421,2021,09,28,2289.0
422,2021,09,27,2383.0
423,2021,09,26,2771.0
424,2021,09,25,3273.0
425,2021,09,24,2434.0
426,2021,09,23,1716.0
427,2021,09,22,1720.0
428,2021,09,21,1729.0
429,2021,09,20,1605.0
430,2021,09,19,1910.0
431,2021,09,18,2087.0
432,2021,09,17,2008.0
433,2021,09,16,1943.0
434,2021,09,15,2080.0
435,2021,09,14,1497.0
436,2021,09,13,1433.0
437,2021,09,12,1755.0
438,2021,09,11,1865.0
439,2021,09,10,1892.0
440,2021,09,09,2049.0
441,2021,09,08,2050.0
442,2021,09,07,1597.0
443,2021,09,06,1375.0
444,2021,09,05,1490.0
445,2021,09,04,1804.0
446,2021,09,03,1709.0
447,2021,09,02,1961.0
448,2021,09,01,2025.0
449,2021,08,31,1372.0
450,2021,08,30,1487.0
451,2021,08,29,1619.0
452,2021,08,28,1793.0
453,2021,08,27,1841.0
454,2021,08,26,1882.0
455,2021,08,25,2155.0
456,2021,08,24,1509.0
457,2021,08,23,1418.0
458,2021,08,22,1628.0
459,2021,08,21,1880.0
460,2021,08,20,2052.0
461,2021,08,19,2152.0
462,2021,08,18,1805.0
463,2021,08,17,1373.0
464,2021,08,16,1556.0
465,2021,08,15,1817.0
466,2021,08,14,1930.0
467,2021,08,13,1990.0
468,2021,08,12,1987.0
469,2021,08,11,2223.0
470,2021,08,10,1540.0
471,2021,08,09,1492.0
472,2021,08,08,1729.0
473,2021,08,07,1823.0
474,2021,08,06,1704.0
475,2021,08,05,1776.0
477,2021,08,04,1725.0
478,2021,08,03,1202.0
479,2021,08,02,1219.0
480,2021,08,01,1442.0
481,2021,07,31,1539.0
482,2021,07,30,1710.0
483,2021,07,29,1674.0
484,2021,07,28,1896.0
485,2021,07,27,1365.0
486,2021,07,26,1318.0
487,2021,07,25,1487.0
488,2021,07,24,1629.0
489,2021,07,23,1630.0
490,2021,07,22,1842.0
492,2021,07,21,1784.0
493,2021,07,20,1278.0
494,2021,07,19,1252.0
495,2021,07,18,1454.0
496,2021,07,17,1455.0
498,2021,07,16,1536.0
499,2021,07,15,1600.0
500,2021,07,14,1615.0
501,2021,07,13,1150.0
502,2021,07,12,1100.0
503,2021,07,10,39.0
504,2021,07,09,1316.0
505,2021,07,08,1275.0
506,2021,07,07,1212.0
507,2021,07,06,746.0
508,2021,07,05,711.0
509,2021,07,04,743.0
510,2021,07,03,794.0
511,2021,07,02,826.0
512,2021,07,01,762.0
513,2021,06,30,794.0
514,2021,06,29,595.0
515,2021,06,28,501.0
516,2021,06,27,614.0
517,2021,06,26,668.0
518,2021,06,25,634.0
519,2021,06,24,610.0
520,2021,06,23,645.0
521,2021,06,22,395.0
522,2021,06,21,357.0
523,2021,06,20,429.0
524,2021,06,19,482.0
525,2021,06,18,507.0
526,2021,06,17,540.0
527,2021,06,16,545.0
528,2021,06,15,374.0
529,2021,06,14,399.0
530,2021,06,13,452.0
531,2021,06,12,565.0
532,2021,06,11,556.0
533,2021,06,10,611.0
534,2021,06,09,602.0
535,2021,06,08,454.0
536,2021,06,07,485.0
537,2021,06,06,39.0
538,2021,06,05,744.0
539,2021,06,04,695.0
540,2021,06,03,681.0
