,year,month,day,covid
955,2020,05,01,9.0
956,2020,04,30,4.0
957,2020,04,29,9.0
958,2020,04,28,14.0
959,2020,04,27,10.0
960,2020,04,26,10.0
961,2020,04,25,10.0
962,2020,04,24,6.0
963,2020,04,23,8.0
964,2020,04,22,11.0
965,2020,04,21,9.0
966,2020,04,20,13.0
967,2020,04,19,8.0
968,2020,04,18,18.0
969,2020,04,17,22.0
970,2020,04,16,22.0
972,2020,04,15,27.0
973,2020,04,14,27.0
974,2020,04,13,25.0
975,2020,04,12,32.0
979,2020,04,11,30.0
980,2020,04,10,27.0
985,2020,04,09,39.0
986,2020,04,08,53.0
987,2020,04,07,47.0
988,2020,04,06,47.0
989,2020,04,05,81.0
990,2020,04,04,94.0
991,2020,04,03,86.0
992,2020,04,02,89.0
993,2020,04,01,101.0
994,2020,03,31,125.0
995,2020,03,30,78.0
996,2020,03,29,105.0
997,2020,03,28,146.0
998,2020,03,27,91.0
999,2020,03,26,104.0
1000,2020,03,25,100.0
1001,2020,03,24,76.0
1002,2020,03,23,64.0
1003,2020,03,22,98.0
1004,2020,03,21,147.0
1005,2020,03,20,87.0
1006,2020,03,19,152.0
1007,2020,03,18,93.0
1008,2020,03,17,84.0
1009,2020,03,16,74.0
1010,2020,03,15,76.0
1011,2020,03,14,107.0
1012,2020,03,13,110.0
1013,2020,03,12,114.0
1014,2020,03,11,242.0
1015,2020,03,10,131.0
1016,2020,03,09,248.0
1017,2020,03,08,367.0
1018,2020,03,07,483.0
1019,2020,03,06,518.0
1020,2020,03,05,438.0
1021,2020,03,04,516.0
1022,2020,03,01,586.0
