,year,month,day,movie
0,2020,04,01,32390
1,2020,04,02,27536
2,2020,04,03,25690
3,2020,04,04,42628
4,2020,04,05,37548
5,2020,04,06,15725
6,2020,04,07,15429
7,2020,04,08,18634
8,2020,04,09,18514
9,2020,04,10,18992
10,2020,04,11,40012
11,2020,04,12,39689
12,2020,04,13,15805
13,2020,04,14,16136
14,2020,04,15,45868
15,2020,04,16,20123
16,2020,04,17,24394
17,2020,04,18,45453
18,2020,04,19,46883
19,2020,04,20,18900
20,2020,04,21,20002
21,2020,04,22,21295
22,2020,04,23,24447
23,2020,04,24,23582
24,2020,04,25,48434
25,2020,04,26,44236
26,2020,04,27,19820
27,2020,04,28,25547
28,2020,04,29,71905
29,2020,04,30,106955
30,2020,05,01,70147
31,2020,05,02,74721
32,2020,05,03,74923
33,2020,05,04,49275
34,2020,05,05,114696
35,2020,05,06,32685
36,2020,05,07,30920
37,2020,05,08,28718
38,2020,05,09,80420
39,2020,05,10,69039
40,2020,05,11,24054
41,2020,05,12,24657
42,2020,05,13,28416
43,2020,05,14,29332
44,2020,05,15,36252
45,2020,05,16,69114
46,2020,05,17,64641
47,2020,05,18,25864
48,2020,05,19,26906
49,2020,05,20,29061
50,2020,05,21,32133
51,2020,05,22,34783
52,2020,05,23,72858
53,2020,05,24,71410
54,2020,05,25,28240
55,2020,05,26,29591
56,2020,05,27,49597
57,2020,05,28,33504
58,2020,05,29,38134
59,2020,05,30,74943
60,2020,05,31,77202
61,2020,06,01,28428
62,2020,06,02,27218
63,2020,06,03,28185
64,2020,06,04,84157
65,2020,06,05,84798
66,2020,06,06,165677
67,2020,06,07,151396
68,2020,06,08,46276
69,2020,06,09,43091
70,2020,06,10,74653
71,2020,06,11,107343
72,2020,06,12,103720
73,2020,06,13,207343
74,2020,06,14,195876
75,2020,06,15,54457
76,2020,06,16,52895
77,2020,06,17,63429
78,2020,06,18,111110
79,2020,06,19,107169
80,2020,06,20,198190
81,2020,06,21,183468
82,2020,06,22,46791
83,2020,06,23,49020
84,2020,06,24,235954
85,2020,06,25,206970
86,2020,06,26,214441
87,2020,06,27,409650
88,2020,06,28,375375
89,2020,06,29,99375
90,2020,06,30,108078
91,2020,07,01,94073
92,2020,07,02,83832
93,2020,07,03,93356
94,2020,07,04,192541
95,2020,07,05,166229
96,2020,07,06,56653
97,2020,07,07,55184
98,2020,07,08,67422
99,2020,07,09,63649
100,2020,07,10,70847
101,2020,07,11,143306
102,2020,07,12,131387
103,2020,07,13,51066
104,2020,07,14,48767
105,2020,07,15,376009
106,2020,07,16,247639
107,2020,07,17,287503
108,2020,07,18,554620
109,2020,07,19,483637
110,2020,07,20,163070
111,2020,07,21,139937
112,2020,07,22,144944
113,2020,07,23,129697
114,2020,07,24,163006
115,2020,07,25,326606
116,2020,07,26,271437
117,2020,07,27,98761
118,2020,07,28,102440
119,2020,07,29,321919
120,2020,07,30,215462
121,2020,07,31,273702
