"","X20c3m4","X20c4m5","X20c5m6","X20c6m7","X20c7m8","X20c8m9","X20c9m10","X20c10m11","X20c11m12","X20c1221m1","X21c1m2","X21c2m3","X21c3m4","X21c4m5","X21c5m6","X21c6m7","X21c7m8","X21c8m9","X21c9m10","X21c10m11","X21c11m12"
"X20c3m4",0.409196425285363,-0.198327382380475,0.634763595506132,0.153127895312509,-0.574610324622394,0.468902530538163,-0.113670196785891,-0.314302602739009,0.526924975666141,0.614574394853836,0.186382161930123,0.216665085790635,0.138021188394163,0.148263982868622,0.134150306108097,-0.0820263760282377,-0.188287870322947,-0.190811525700471,-0.187555852725863,-0.0366587371121964,0.273068720208542
"X20c4m5",0.503794739216608,-0.0633689628962693,0.554347102569206,0.236473374239487,-0.521771614207162,0.587889462895349,-0.256152280113719,-0.420317554819794,0.322520809250357,0.768438258424252,0.120763891202735,0.124800496822394,0.0997383191553877,0.343064779262956,0.209215711974965,-0.155893017582618,-0.249138520999794,-0.265144576294754,0.0320635802610439,-0.134341638728356,0.269166287554067
"X20c5m6",-0.131553100095961,0.210150147304265,-0.492369252048862,-0.0802051565015377,0.080432615925636,-0.255848516936107,0.445298477125223,0.0577432318248888,-0.302750111974872,-0.402902079378447,-0.281986528707995,-0.2448047375463,0.244047423113063,0.00555619233062356,-0.0925166719101015,-0.011375321397206,0.115221782764218,0.622905628493476,0.0850629680028912,-0.00311040831572709,-0.195679341675355
"X20c6m7",-0.0487827440677136,-0.324119538048497,0.173052585897368,0.026702924381603,-0.461169825962032,-0.16340835548274,0.162925216845201,0.0124847408707958,0.107648498024531,-0.176251590851923,0.348534117213051,0.0796623458282944,0.317461537854636,-0.200924183028943,-0.0350071472215079,0.310109363130092,0.0346172529148833,0.206967846707121,-0.0862683495697729,0.155665308579078,0.0178354961085973
"X20c7m8",-0.0607225571990183,-0.10755310923561,0.231032008418181,-0.0337763181606581,0.0302901530103985,0.0249793119159695,-0.263797106535855,0.181669320792669,-0.0768519225598754,0.177924452802385,0.185496169403036,0.27455791136681,0.023238107499194,0.0363163641500744,-0.116759509306204,0.160626375325347,0.0168272714231171,-0.473391731973316,-0.030737785162396,0.315659019702122,0.00232006289180354
"X20c8m9",-0.309340897798581,0.279880630488239,-0.454460036336643,-0.436001577413646,0.653957968364231,-0.251115068865978,0.216954060883536,0.235256385923676,-0.237811576893422,-0.643388697699329,-0.0027383751973025,-0.0832537750527802,-0.0571514260242446,-0.335542750445554,-0.0926353257427852,0.123392203337352,0.0600071614846637,0.0291792754107802,0.0159448887749688,0.191664300371272,-0.500294484379992
"X20c9m10",0.465988944560356,-0.396611111503589,0.525361888689166,0.239558432978799,-0.460420439191496,0.554266054136669,-0.479492544596069,-0.0256805188767196,0.14999888047372,0.565439011630683,0.35940771695279,0.299473039688278,-0.122689451888612,0.321300722608142,0.145068812506487,-0.260093721731035,0.06207760732713,-0.139719043625074,-0.198735064301963,0.0186685103816113,0.203507707089426
"X20c10m11",-0.145430646142513,0.235148960124821,-0.298282180760734,-0.119687207757685,0.176907608397969,-0.146444981769087,0.532384600392154,-0.0924189749424901,0.0876425575824412,-0.322710088417352,-0.229220895096223,-0.0716677990566643,0.161239882177869,-0.147847929279925,-0.0789692868170247,0.226399543271041,-0.268482685795006,0.0677045111675169,-0.0569030299959238,0.00513066821638394,-0.0990461288456786
"X20c11m12",-0.172707345103749,0.402048664968766,-0.475200622407408,-0.36082271254521,0.395372330780979,-0.159439728171062,0.489644759986614,0.177785245225741,-0.0522719927172947,-0.526845237511841,-0.0912479024577539,-0.0719554038688057,0.0415211185234432,-0.228900625300238,-0.0182374189345924,0.108628393030608,-0.0617328490443429,0.245183642290543,-0.0359742914083265,0.179239499486957,-0.441861612401564
"X20c1221m1",-0.472680611901353,-0.0698671762648394,-0.396938368447192,-0.325802092314213,0.67710663409353,-0.372808297467869,-0.0524983212709509,0.432090916402479,-0.38331478438534,-0.746846755719328,0.111232064800587,0.079206420735188,-0.340635315602388,-0.209744238577462,-0.0250198804810395,-0.158344223227447,0.286222952323126,-0.0669267220070186,-0.0697440554160516,0.317820996949048,-0.336846495362373
